,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
11,m8HCNwt2UsHEEZzOCfbE2A,sawadee-thai-cuisine-singapore-2,Sawadee Thai Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/ESOBUyZF23F-Mc93X0JgXQ/o.jpg,False,https://www.yelp.com/biz/sawadee-thai-cuisine-singapore-2?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,7,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 1.2981813, 'longitude': 103.8568767}",[],$$,"{'address1': '9, Tan Quee Lan Street', 'address2': '#01-01', 'address3': '', 'city': 'Singapore', 'zip_code': '188098', 'country': 'SG', 'state': 'SG', 'display_address': ['9, Tan Quee Lan Street', '#01-01', 'Singapore 188098', 'Singapore']}",+6562386833,+65 6238 6833,1979.3272442004159
14,Y4-xxNWQ2Tku4zM_u7qMOA,maggie-thai-and-chinese-singapore,Maggie Thai & Chinese,https://s3-media2.fl.yelpcdn.com/bphoto/4pbxVrdzskFrK7ifSGJj4Q/o.jpg,False,https://www.yelp.com/biz/maggie-thai-and-chinese-singapore?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,9,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 1.29772, 'longitude': 103.8565292}",[],$,"{'address1': '1 Liang Seah Street', 'address2': '#01-01/02 Liang Seah Place', 'address3': None, 'city': 'Singapore', 'zip_code': '189022', 'country': 'SG', 'state': 'SG', 'display_address': ['1 Liang Seah Street', '#01-01/02 Liang Seah Place', 'Singapore 189022', 'Singapore']}",+6568370129,+65 6837 0129,1987.3294468527429
24,-YkVLNrpRGmmYmwNN8YRVA,spicy-thai-thai-singapore,Spicy Thai Thai,https://s3-media4.fl.yelpcdn.com/bphoto/XXMSjdkJZwuD9BP9WIPmqQ/o.jpg,False,https://www.yelp.com/biz/spicy-thai-thai-singapore?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,6,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.0,"{'latitude': 1.30512, 'longitude': 103.854599}",[],$$,"{'address1': '2 Dickson Road', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '209512', 'country': 'SG', 'state': 'SG', 'display_address': ['2 Dickson Road', 'Singapore 209512', 'Singapore']}",,,1222.75770249066
45,jvKrdQl8mkf9LMPngk3-iw,som-tam-singapore,Som Tam,https://s3-media1.fl.yelpcdn.com/bphoto/uXth68P3oQhrgcUQAjmPvw/o.jpg,False,https://www.yelp.com/biz/som-tam-singapore?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,3,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 1.30092248263365, 'longitude': 103.8394814979}",[],$$,"{'address1': '181 Orchard Rd', 'address2': '#08-13', 'address3': None, 'city': 'Singapore', 'zip_code': '238896', 'country': 'SG', 'state': 'SG', 'display_address': ['181 Orchard Rd', '#08-13', 'Singapore 238896', 'Singapore']}",+6562386872,+65 6238 6872,1806.3543316733003
50,jPnKPw-0hpNHkmFfRSX-sg,ah-loy-thai-singapore-3,Ah Loy Thai,,False,https://www.yelp.com/biz/ah-loy-thai-singapore-3?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,2,"[{'alias': 'thai', 'title': 'Thai'}]",5.0,"{'latitude': 1.29827, 'longitude': 103.85675}",[],,"{'address1': '9 Tan Quee Lan Street', 'address2': '#01-04', 'address3': None, 'city': 'Singapore', 'zip_code': '188098', 'country': 'SG', 'state': 'SG', 'display_address': ['9 Tan Quee Lan Street', '#01-04', 'Singapore 188098', 'Singapore']}",+6584886528,+65 8488 6528,1979.3272442004159
77,Y-CBowD_R905zkPU7ZXOXw,greyhound-singapore,Greyhound,https://s3-media2.fl.yelpcdn.com/bphoto/vZ2gmgMUHrlh8kEy1Y7NKA/o.jpg,False,https://www.yelp.com/biz/greyhound-singapore?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,2,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 1.30385142204977, 'longitude': 103.836119866261}",[],$$,"{'address1': '290 Orchard Rd', 'address2': '#01-25/25A', 'address3': None, 'city': 'Singapore', 'zip_code': '238859', 'country': 'SG', 'state': 'SG', 'display_address': ['290 Orchard Rd', '#01-25/25A', 'Singapore 238859', 'Singapore']}",+6562354078,+65 6235 4078,1827.44703684053
86,BF6UpspkUSngr6A1tMs_qw,muay-thai-food-singapore,Muay Thai Food,https://s3-media3.fl.yelpcdn.com/bphoto/RrS2-Pdg0AnthaPZw2FjwA/o.jpg,False,https://www.yelp.com/biz/muay-thai-food-singapore?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,1,"[{'alias': 'thai', 'title': 'Thai'}]",5.0,"{'latitude': 1.3263799, 'longitude': 103.8443099}",[],,"{'address1': '567 Balestier Rd', 'address2': '', 'address3': 'Mega Food Court', 'city': 'Singapore', 'zip_code': '329884', 'country': 'SG', 'state': 'SG', 'display_address': ['567 Balestier Rd', 'Mega Food Court', 'Singapore 329884', 'Singapore']}",,,1469.38080062229
120,kPwtBhHtKdN8orY4Ij0XnQ,lotus-thai-singapore-3,Lotus Thai,https://s3-media2.fl.yelpcdn.com/bphoto/laZMppe_nAJhaJAnUbrucg/o.jpg,False,https://www.yelp.com/biz/lotus-thai-singapore-3?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,2,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 1.3071299, 'longitude': 103.85618}",[],,"{'address1': '145 Jalan Besar', 'address2': '', 'address3': None, 'city': 'Singapore', 'zip_code': '208863', 'country': 'SG', 'state': 'SG', 'display_address': ['145 Jalan Besar', 'Singapore 208863', 'Singapore']}",+6562913869,+65 6291 3869,1136.2392192684413
122,Kzcyux0LYB-3DACJ9sNOWQ,hui-wei-chinese-thai-cuisine-singapore,Hui Wei Chinese Thai Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/m-lUugAruVPSvDWa73REAg/o.jpg,False,https://www.yelp.com/biz/hui-wei-chinese-thai-cuisine-singapore?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,1,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 1.30766557932958, 'longitude': 103.860226683509}",[],$$,"{'address1': '802 French Road', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '200802', 'country': 'SG', 'state': 'SG', 'display_address': ['802 French Road', 'Singapore 200802', 'Singapore']}",+6583438367,+65 8343 8367,1444.2965201930413
124,43pW_bvR9yGU51wDN0gvqw,doi-chaang-singapore-3,Doi Chaang,https://s3-media2.fl.yelpcdn.com/bphoto/P3B2WppYV3yRTx2vun9TLA/o.jpg,False,https://www.yelp.com/biz/doi-chaang-singapore-3?adjust_creative=Z8aK-_C5-p_2uT_UsK5Mag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Z8aK-_C5-p_2uT_UsK5Mag,1,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 1.31734508967964, 'longitude': 103.843791335821}",[],,"{'address1': '101 Thomson Rd', 'address2': '#B1-60, United Square', 'address3': None, 'city': 'Singapore', 'zip_code': '307591', 'country': 'SG', 'state': 'SG', 'display_address': ['101 Thomson Rd', '#B1-60, United Square', 'Singapore 307591', 'Singapore']}",+6598367114,+65 9836 7114,676.5418471722321
